epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.6839,1.68644,2.57773,1.55589,0.60266,0.31818,0.36483,0.19023,1.66626,2.46687,1.55032,0.000660969,0.000660969,0.000660969
2,101.896,1.65299,2.12366,1.51331,0.40812,0.43043,0.37095,0.17788,1.72326,2.44185,1.64517,0.00130135,0.00130135,0.00130135
3,142.717,1.6534,2.02941,1.53326,0.47813,0.44848,0.41325,0.18251,1.77678,2.40283,1.73492,0.00191533,0.00191533,0.00191533
4,186.853,1.67669,2.06644,1.58305,0.56126,0.44242,0.49581,0.26177,1.60842,2.32349,1.63763,0.0018812,0.0018812,0.0018812
5,236.079,1.63409,1.90931,1.54446,0.51798,0.53636,0.52409,0.25054,1.73184,2.00984,1.80876,0.0018416,0.0018416,0.0018416
6,274.889,1.60164,1.75622,1.51208,0.55347,0.49697,0.4804,0.22482,1.74907,1.97151,1.66837,0.001802,0.001802,0.001802
7,309.68,1.57584,1.72886,1.4817,0.62323,0.54136,0.56339,0.29198,1.5667,1.96029,1.56514,0.0017624,0.0017624,0.0017624
8,344.631,1.5739,1.70416,1.45997,0.64438,0.50909,0.55747,0.29804,1.50894,1.70982,1.48793,0.0017228,0.0017228,0.0017228
9,381.216,1.54197,1.61634,1.43876,0.62505,0.56073,0.59459,0.30445,1.53043,1.58531,1.53473,0.0016832,0.0016832,0.0016832
10,416.571,1.5137,1.5199,1.42398,0.72416,0.54545,0.62959,0.3333,1.54195,1.57183,1.53081,0.0016436,0.0016436,0.0016436
11,454.528,1.4673,1.52389,1.40446,0.71754,0.59275,0.64706,0.34682,1.50061,1.52234,1.50149,0.001604,0.001604,0.001604
12,489.792,1.45934,1.4796,1.40937,0.70895,0.57879,0.66626,0.36312,1.51195,1.43198,1.49379,0.0015644,0.0015644,0.0015644
13,526.194,1.46613,1.45751,1.39046,0.72106,0.57184,0.65674,0.3613,1.46281,1.51879,1.4865,0.0015248,0.0015248,0.0015248
14,559.355,1.42848,1.39531,1.37156,0.70071,0.60606,0.65526,0.37419,1.47076,1.4008,1.49051,0.0014852,0.0014852,0.0014852
15,592.111,1.43072,1.42542,1.37747,0.68929,0.59832,0.65159,0.3781,1.46936,1.4203,1.48015,0.0014456,0.0014456,0.0014456
16,625.951,1.39414,1.3399,1.35299,0.65895,0.62727,0.6773,0.37559,1.49232,1.38317,1.47995,0.001406,0.001406,0.001406
17,660.387,1.42986,1.34742,1.36835,0.70914,0.56364,0.66735,0.37229,1.49083,1.4006,1.4817,0.0013664,0.0013664,0.0013664
18,697.79,1.38537,1.31784,1.3494,0.73799,0.54848,0.66097,0.36761,1.5396,1.39326,1.51376,0.0013268,0.0013268,0.0013268
19,733.907,1.39417,1.33833,1.34607,0.76355,0.58712,0.69811,0.41318,1.40869,1.3367,1.44526,0.0012872,0.0012872,0.0012872
20,766.967,1.35054,1.23281,1.33398,0.74083,0.65152,0.73422,0.42753,1.43592,1.2308,1.43428,0.0012476,0.0012476,0.0012476
21,807.057,1.34348,1.23553,1.32289,0.75257,0.63597,0.71632,0.42552,1.42073,1.25584,1.43804,0.001208,0.001208,0.001208
22,844.977,1.32457,1.19486,1.31077,0.72638,0.65758,0.72342,0.41827,1.43834,1.29,1.4516,0.0011684,0.0011684,0.0011684
23,884.57,1.28514,1.17842,1.2892,0.79563,0.60164,0.72918,0.44449,1.37807,1.22486,1.42085,0.0011288,0.0011288,0.0011288
24,924.498,1.30157,1.20702,1.28392,0.68506,0.65758,0.70691,0.42032,1.41989,1.27352,1.42968,0.0010892,0.0010892,0.0010892
25,962.161,1.32119,1.1968,1.29618,0.78962,0.6697,0.7569,0.45607,1.37401,1.17718,1.42047,0.0010496,0.0010496,0.0010496
26,1002.17,1.26766,1.17803,1.27244,0.79513,0.63512,0.74057,0.43601,1.38719,1.20692,1.40147,0.00101,0.00101,0.00101
27,1040.17,1.27291,1.16359,1.28619,0.78396,0.66364,0.75411,0.46031,1.37793,1.18821,1.39939,0.0009704,0.0009704,0.0009704
28,1081.07,1.24369,1.11853,1.25621,0.82136,0.62699,0.73186,0.44323,1.38972,1.22473,1.43344,0.0009308,0.0009308,0.0009308
29,1118.59,1.22377,1.08887,1.24994,0.77809,0.65876,0.75619,0.45529,1.35503,1.15994,1.39709,0.0008912,0.0008912,0.0008912
30,1156.75,1.27628,1.0982,1.28095,0.82526,0.58485,0.74423,0.45554,1.3659,1.17914,1.37159,0.0008516,0.0008516,0.0008516
31,1198.19,1.23464,1.05852,1.24667,0.76381,0.63939,0.74719,0.45349,1.378,1.16863,1.40058,0.000812,0.000812,0.000812
32,1238.61,1.23361,1.05695,1.24344,0.7677,0.67099,0.75484,0.46691,1.3533,1.14649,1.40936,0.0007724,0.0007724,0.0007724
